ID	Jan	Feb	Mar	Apr	May	June	July	Aug	Sep	Oct	Nov	Dec	Total
129415	0	0	9	20	21	14	17	34	31	17	5	1	169
212312	0	3	2	6	1	6	2	1	1	4	3	3	32
148544	0	0	0	0	0	2	1	1	0	0	0	0	4
257635	0	0	0	1	0	1	7	7	5	0	1	0	22
226071	0	0	0	0	0	1	8	3	0	0	0	0	12
148604	0	0	0	0	0	0	1	0	1	0	1	0	3
58477	0	0	0	0	10	0	14	0	0	0	0	0	24
148518	1	1	3	1	0	2	8	9	9	19	0	1	54
146728	1	3	7	17	10	7	10	17	8	19	11	6	116
122364	0	0	0	0	4	4	2	0	0	0	0	0	10
257817	1	4	1	3	3	1	7	4	14	8	6	3	55
146736	6	3	3	0	0	5	11	14	9	32	19	5	107
257717	1	0	0	2	1	0	4	3	1	2	5	0	19
213332	0	0	0	4	3	1	4	5	0	0	0	0	17
142636	0	1	0	0	8	1	3	3	2	3	1	0	22
214375	7	6	3	7	4	3	10	2	2	7	3	5	59
257636	2	4	1	2	2	1	0	3	4	3	6	7	35
143664	0	0	0	3	4	5	7	26	5	0	0	0	50
217305	0	0	0	1	1	0	3	1	0	0	0	0	6
257621	1	0	0	1	0	0	1	1	1	2	1	0	8
226902	3	3	4	1	0	1	2	4	5	6	10	4	43
218000	7	2	0	1	0	0	0	4	2	0	0	2	18
257773	0	0	0	0	0	1	0	0	1	0	0	1	3
257766	1	0	0	1	0	0	2	4	0	1	0	1	10
204779	0	1	0	3	1	0	0	1	1	0	1	0	8
257472	0	0	0	0	0	0	0	0	0	0	2	0	2
257794	0	0	2	0	1	0	4	3	0	1	2	1	14
82482	0	2	2	2	1	3	2	2	4	0	0	5	23
148521	0	0	2	1	0	0	1	4	4	1	1	1	15
257724	2	0	2	1	8	3	10	4	5	3	2	2	42
148741	0	1	1	1	1	1	1	1	0	3	2	0	12
322330	0	0	0	2	1	0	0	0	0	0	0	0	3
148541	2	0	4	4	2	4	0	0	2	3	4	3	28
257689	0	0	1	0	1	1	0	0	0	0	0	0	3
148614	4	2	3	0	1	0	0	0	1	2	2	3	18
257819	0	0	1	0	0	0	1	1	2	1	0	2	8
148843	0	0	0	0	0	0	1	0	1	3	0	0	5
205174	1	0	2	1	0	4	5	5	3	3	1	1	26
257579	1	2	1	0	0	0	0	0	0	0	0	0	4
148534	6	5	3	3	0	0	1	2	4	6	8	6	44
148789	0	2	2	0	0	0	0	0	1	0	1	2	8
257576	2	4	5	3	5	0	0	0	1	1	4	7	32
148823	0	1	4	0	1	1	0	1	0	1	3	1	13
214595	0	0	0	1	4	0	0	3	1	0	0	0	9
148594	1	2	0	0	0	0	0	1	0	0	7	1	12
257475	5	2	4	2	7	0	2	3	2	3	9	4	43
148702	1	1	2	0	1	2	3	4	3	10	16	0	43
148816	10	9	5	4	3	1	2	5	4	5	6	15	69
224544	0	1	7	5	1	0	0	0	0	3	0	0	17
148785	0	0	1	3	3	2	1	6	1	0	0	0	17
128085	0	0	0	0	5	0	1	4	0	0	0	0	10
214669	0	0	0	9	8	2	1	4	3	5	0	0	32
173418	0	0	0	1	1	0	3	3	0	0	0	0	8
148737	8	1	4	6	2	2	2	6	3	4	2	0	40
